CompoundID,InChIKey,SMILES,logS,logP,MW
C2709,ITJJTERMXJOUEE-UHFFFAOYSA-N,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(c1)oc(cc2=O)c1ccccc1,-5.496299666,3.3438,426.416
C6529,GKQGIQVSMCHAFX-IBEHDNSVSA-N,OC[C@H]1O[C@@H](Oc2cc(C)ccc2C(C)C)[C@@H]([C@H]([C@@H]1O)O)O,-2.39188158,0.2971,312.358
C7689,SJRACCTZSAUMGO-WIMVFMHDSA-N,OC[C@H]1O[C@@H](OCc2cc(=O)c3c(o2)cc2c(c3OC)cco2)[C@@H]([C@H]([C@@H]1O)O)O,-1.6045761,-0.1357,408.356
C8013,BBFYUPYFXSSMNV-HMGRVEAOSA-N,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,-1.346103344,-0.5389,464.376
